Time,Drag Force
67187,219.4
67198,228.87
67210,238.86
67221,242.2
67233,237.29
67244,239.92
67256,237.11
67267,220.45
67279,216.94
67290,232.02
67302,235.36
67313,230.8
67325,236.76
67336,235.71
67348,221.68
67359,221.68
67371,246.23
67382,256.58
67394,244.12
67405,224.48
67417,222.03
67428,226.94
67440,235.01
67451,230.27
67463,227.81
67474,242.55
67486,259.03
67497,257.98
67509,246.93
67520,243.6
67532,256.05
67543,269.38
67555,267.8
67566,257.1
67578,247.81
67589,262.71
67601,285.16
67612,285.69
67624,279.38
67635,279.38
67647,288.14
67658,292.53
67670,294.28
67681,291.65
67692,287.62
67704,296.74
67715,306.56
67727,303.75
67738,295.86
67750,292.18
67761,294.46
67773,306.73
67784,314.28
67796,290.25
67807,271.66
67819,295.16
67830,319.36
67842,314.45
67853,276.57
67865,250.44
67876,243.07
67888,261.49
67899,283.41
67911,280.95
67922,260.43
67934,233.95
67945,236.93
67957,270.43
67968,279.2
67980,247.81
67991,221.85
68003,236.06
68014,277.62
68026,284.11
68037,238.16
68049,207.82
68060,234.83
68072,261.84
68083,284.81
68095,264.82
68106,224.66
68118,202.03
68129,220.8
68141,253.95
68152,267.98
68164,231.85
68175,206.24
68187,218.7
68198,246.58
68210,255.17
68221,222.55
68233,188.0
68244,202.21
68256,233.6
68267,241.84
68279,230.62
68290,208.17
68301,206.07
68313,231.32
68325,256.23
68336,246.76
68347,212.03
68359,181.69
68370,198.0
68382,231.67
68393,244.48
68405,225.53
68416,196.42
68428,208.0
68439,246.23
68451,265.7
68462,238.86
68474,214.66
68485,212.03
68497,250.79
68508,274.64
68520,256.93
68531,222.55
68543,228.87
68554,277.27
68566,308.66
68577,299.02
68589,268.33
68600,260.79
68612,276.04
68623,303.4
68635,310.42
68646,276.74
68658,240.27
68669,242.37
68681,282.88
68692,322.34
68704,300.25
68715,260.26
68727,257.1
68738,278.32
68750,297.44
68761,285.86
68773,257.98
68784,250.09
68796,247.46
68807,250.09
68819,254.82
68830,262.19
68842,269.55
68853,267.8
68865,267.27
68876,275.69
68888,273.41
68899,256.23
68911,250.26
68922,264.29
68934,270.61
68945,258.16
68956,258.16
68968,261.66
68980,261.84
68991,261.84
69002,259.21
69014,258.33
69025,261.31
69037,259.03
69048,234.48
69060,220.45
69071,215.36
69083,229.22
69094,231.32
69106,236.58
69117,233.78
69129,213.78
69140,206.77
69152,219.4
69163,206.42
69175,182.04
69186,177.13
69198,195.72
69209,220.45
69221,231.5
69232,212.91
69244,173.62
69255,168.19
69267,203.96
69278,244.3
69290,233.95
69301,194.67
69313,163.98
69324,152.58
69336,172.22
69347,200.11
69359,210.45
69370,193.44
69382,174.5
69393,176.78
69405,182.57
69416,176.25
69428,153.63
69439,142.93
69451,163.98
69462,199.75
69474,211.86
69485,188.88
69497,161.87
69508,156.96
69520,201.68
69531,245.88
69543,263.07
69554,233.43
69566,205.54
69577,226.59
69589,265.7
69600,294.63
69612,294.63
69623,283.76
69635,286.39
69646,308.49
69657,329.88
69669,316.73
69680,272.54
69692,249.74
69703,253.77
69715,273.24
69726,253.95
69738,217.12
69749,168.36
69761,145.56
69772,132.41
69784,127.85
69795,129.08
69807,111.19
69818,69.98
69830,36.3
69841,15.78
69853,-5.61
69864,-27.36
69876,-35.6
69887,-41.56
69899,-51.03
69910,-39.11
69922,-14.38
69933,-8.42
69945,-22.8
69956,-12.1
69968,7.19
69979,37.18
69991,53.49
70002,24.9
70014,5.61
70025,40.16
70037,85.76
70048,98.56
70060,91.55
70071,84.18
70083,93.3
70094,131.88
70106,163.63
70117,161.7
70129,139.78
70140,138.72
70152,168.01
70163,177.48
70175,183.62
70186,179.24
70198,167.84
70209,165.21
70221,180.29
70232,178.18
70244,174.32
70255,191.69
70267,195.02
70278,198.53
70289,191.51
70301,180.64
70312,169.41
70324,154.68
70335,143.28
70347,145.04
70358,140.83
70370,155.21
70381,166.61
70393,159.24
70404,135.04
70416,113.82
70427,118.91
70439,142.23
70450,188.18
70462,218.17
70473,213.08
70485,185.9
70496,170.12
70508,208.87
70519,264.47
70531,291.3
70542,298.32
70554,300.42
70565,314.45
70577,337.78
70588,332.69
70600,312.0
70611,310.24
70623,339.71
70634,354.96
70646,309.72
70657,248.86
70669,173.62
